"%Rottgers, R. McKee, D, and Utschig, C, ""Temperature and salinity correction coefficients for light absorption by water in the visible to infrared spectral region"", Opt. Express, 2014";;;;;
% Data of the salinity correction coefficient for the light absorption coefficent of water, PsiS, given for a NaCl solution and artificial seawater (ASW);;;;;
"% s.d., standard deviation; NaN, not determined";;;;;
% remark: data of Fig. 8, for ASW <500 nm not reliable due to contamination problems, data combined with those calculated from reference [21], see paper for details;;;;;
wavelength (nm);wavenumber (1/cm);PsiS (1/m*L/g) NaCl;s.d. (1/m*L/g) NaCl;PsiS (1/m*L/g) ASW;s.d. (1/m*L/g) ASW
wavelength;wavenumber;PsiS;PsiS_std;PsiS_ASW;PsiS_ASW_std
400;25000;7.36E-07;4.06E-06;4.32E-05;9.71E-06
402;24875.62;1.49E-06;2.65E-06;4.22E-05;9.48E-06
404;24752.48;5.68E-07;2.39E-06;3.88E-05;8.48E-06
406;24630.54;2.42E-07;1.94E-06;3.63E-05;7.82E-06
408;24509.8;-3.73E-07;4.45E-06;3.70E-05;8.64E-06
410;24390.24;-7.81E-07;4.19E-06;3.58E-05;8.00E-06
412;24271.84;-3.14E-07;4.51E-06;3.49E-05;8.64E-06
414;24154.59;-1.18E-06;4.03E-06;3.38E-05;9.34E-06
416;24038.46;1.31E-06;3.62E-06;3.35E-05;7.94E-06
418;23923.44;-2.04E-07;3.88E-06;3.27E-05;8.08E-06
420;23809.52;-3.12E-07;2.46E-06;3.15E-05;8.48E-06
422;23696.68;-9.80E-07;4.59E-06;2.98E-05;8.58E-06
424;23584.91;-2.08E-06;3.42E-06;2.88E-05;8.75E-06
426;23474.18;-2.46E-06;2.58E-06;2.73E-05;7.83E-06
428;23364.49;-2.68E-06;2.40E-06;2.64E-05;6.07E-06
430;23255.81;-2.92E-06;2.46E-06;2.63E-05;7.18E-06
432;23148.15;-2.17E-06;2.10E-06;2.49E-05;6.97E-06
434;23041.47;-1.87E-06;1.81E-06;2.42E-05;6.20E-06
436;22935.78;-2.10E-06;2.21E-06;2.50E-05;6.22E-06
438;22831.05;-2.39E-06;3.09E-06;2.26E-05;6.09E-06
440;22727.27;-1.56E-06;2.44E-06;2.22E-05;5.90E-06
442;22624.43;-2.53E-06;2.07E-06;2.12E-05;6.01E-06
444;22522.52;-2.11E-06;2.27E-06;2.00E-05;6.01E-06
446;22421.52;-1.13E-06;1.76E-06;1.86E-05;5.78E-06
448;22321.43;-1.20E-06;2.03E-06;1.85E-05;5.83E-06
450;22222.22;-3.22E-07;2.58E-06;1.73E-05;5.88E-06
452;22123.89;-6.42E-07;1.17E-06;1.70E-05;5.50E-06
454;22026.43;3.63E-07;1.83E-06;1.67E-05;5.38E-06
456;21929.82;1.15E-07;2.48E-06;1.62E-05;5.27E-06
458;21834.06;-6.57E-09;2.22E-06;1.46E-05;5.67E-06
