Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Beads_3µm
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	1.3782
443	1.7255
515	1.6641
658	1.2324
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
 99	 0.0032257	 0.0023324	 0.0053973	 0.0064188
100	 0.0024576	 0.0035098	 0.0078067	 0.0069338
101	 0.0017685	 0.0048622	 0.0091523	 0.0083720
102	 0.0020763	 0.0048932	 0.0085557	 0.0102756
103	 0.0030037	 0.0036036	 0.0064651	 0.0119652
104	 0.0033944	 0.0027062	 0.0044160	 0.0127618
105	 0.0029247	 0.0038031	 0.0039951	 0.0123423
106	 0.0026306	 0.0065582	 0.0056011	 0.0108373
107	 0.0035911	 0.0086615	 0.0082810	 0.0088449
108	 0.0052800	 0.0081262	 0.0102711	 0.0072154
109	 0.0060030	 0.0054543	 0.0104024	 0.0066920
110	 0.0049155	 0.0035284	 0.0088109	 0.0075691
111	 0.0035283	 0.0049256	 0.0068142	 0.0096315
112	 0.0042049	 0.0092357	 0.0060166	 0.0121280
113	 0.0073595	 0.0131102	 0.0070477	 0.0141804
114	 0.0105421	 0.0133277	 0.0091348	 0.0150211
115	 0.0106830	 0.0098827	 0.0107580	 0.0143504
116	 0.0079724	 0.0061592	 0.0108147	 0.0124951
117	 0.0056317	 0.0058328	 0.0094495	 0.0102279
118	 0.0065572	 0.0093186	 0.0079957	 0.0084473
119	 0.0101992	 0.0135461	 0.0078694	 0.0077913
120	 0.0129323	 0.0147958	 0.0095600	 0.0084232
121	 0.0124197	 0.0123630	 0.0120657	 0.0099828
122	 0.0098840	 0.0090416	 0.0136031	 0.0116317
123	 0.0087402	 0.0082670	 0.0128939	 0.0126794
124	 0.0102922	 0.0106530	 0.0101844	 0.0126550
125	 0.0123837	 0.0134558	 0.0072076	 0.0116195
126	 0.0119981	 0.0134041	 0.0059568	 0.0100502
127	 0.0092411	 0.0101325	 0.0072772	 0.0087554
128	 0.0073092	 0.0067005	 0.0101986	 0.0083175
129	 0.0085578	 0.0064466	 0.0127101	 0.0089240
130	 0.0117882	 0.0095894	 0.0129749	 0.0102538
131	 0.0132032	 0.0129844	 0.0107505	 0.0115621
132	 0.0110286	 0.0130995	 0.0075672	 0.0121131
133	 0.0075999	 0.0096634	 0.0054193	 0.0114322
134	 0.0065420	 0.0058069	 0.0055464	 0.0095489
135	 0.0083835	 0.0050393	 0.0073500	 0.0070726
136	 0.0102124	 0.0075943	 0.0090524	 0.0048742
137	 0.0089942	 0.0102926	 0.0090107	 0.0037513
138	 0.0056976	 0.0098577	 0.0070124	 0.0040096
139	 0.0039979	 0.0063960	 0.0043705	 0.0054443
140	 0.0059058	 0.0033663	 0.0029764	 0.0073553
141	 0.0092151	 0.0039301	 0.0038246	 0.0088320
142	 0.0100942	 0.0077316	 0.0062725	 0.0092687
143	 0.0077552	 0.0110399	 0.0083967	 0.0084945
144	 0.0053743	 0.0106174	 0.0087215	 0.0069196
145	 0.0064267	 0.0071367	 0.0071508	 0.0053727
146	 0.0100558	 0.0047376	 0.0051866	 0.0047024
147	 0.0121339	 0.0067351	 0.0048985	 0.0053241
148	 0.0098872	 0.0120891	 0.0071748	 0.0071242
149	 0.0054942	 0.0160035	 0.0109661	 0.0094130
150	 0.0037036	 0.0147183	 0.0139304	 0.0112816
151	 0.0062590	 0.0090375	 0.0139174	 0.0119305
152	 0.0099732	 0.0040908	 0.0107567	 0.0110338
153	 0.0104313	 0.0043146	 0.0064197	 0.0090157
154	 0.0073838	 0.0091029	 0.0036682	 0.0067851
155	 0.0048562	 0.0133618	 0.0043085	 0.0054261
156	 0.0061374	 0.0126865	 0.0076505	 0.0056624
157	 0.0100463	 0.0079701	 0.0111222	 0.0076036
158	 0.0119040	 0.0045444	 0.0121819	 0.0105513
159	 0.0097979	 0.0067319	 0.0101126	 0.0133475
160	 0.0071536	 0.0131385	 0.0067250	 0.0148843
161	 0.0085852	 0.0178080	 0.0050116	 0.0144981
162	 0.0140315	 0.0161321	 0.0069873	 0.0123677
163	 0.0181666	 0.0099859	 0.0119215	 0.0093973
164	 0.0164111	 0.0063465	 0.0168436	 0.0069637
165	 0.0105244	 0.0106078	 0.0184020	 0.0063282
166	 0.0071372	 0.0206536	 0.0154414	 0.0080426
167	 0.0100194	 0.0282056	 0.0100273	 0.0118505
168	 0.0160109	 0.0266405	 0.0064075	 0.0166379
169	 0.0184505	 0.0173367	 0.0083207	 0.0208999
170	 0.0159554	 0.0096283	 0.0163030	 0.0234532
171	 0.0136631	 0.0119702	 0.0278248	 0.0239008
172	 0.0175923	 0.0248894	 0.0388115	 0.0228718
173	 0.0279288	 0.0407565	 0.0466150	 0.0216897
174	 0.0387029	 0.0524554	 0.0525332	 0.0223301
175	 0.0442354	 0.0547753	 0.0622575	 0.0263237
