Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Cylindrotheca
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	3.2582
443	3.1834
515	3.3198
658	3.1228
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
124.5	8.4948e-04	4.6322e-04	5.8918e-04	4.3238e-04
126.0	8.3952e-04	4.6704e-04	5.8286e-04	4.3174e-04
127.5	8.2087e-04	4.5794e-04	5.8449e-04	4.3349e-04
129.0	8.1486e-04	4.5982e-04	5.9361e-04	4.3502e-04
130.5	8.2291e-04	4.7387e-04	5.9273e-04	4.4167e-04
132.0	8.1520e-04	4.8019e-04	5.8652e-04	4.4570e-04
133.5	7.9597e-04	4.7471e-04	5.8623e-04	4.4975e-04
135.0	8.0116e-04	4.7721e-04	5.9306e-04	4.5443e-04
136.5	7.9887e-04	4.9682e-04	6.0190e-04	4.4627e-04
138.0	7.7903e-04	5.0663e-04	5.9712e-04	4.4698e-04
139.5	7.7675e-04	5.1059e-04	5.9554e-04	4.5472e-04
141.0	7.9170e-04	5.3014e-04	6.0371e-04	4.6071e-04
142.5	7.9218e-04	5.7299e-04	6.1630e-04	4.6625e-04
144.0	7.8969e-04	6.0791e-04	6.2864e-04	4.7506e-04
145.5	8.1625e-04	6.2504e-04	6.3967e-04	4.8335e-04
147.0	8.4987e-04	6.3660e-04	6.5434e-04	5.0050e-04
148.5	8.5046e-04	6.6499e-04	6.8478e-04	5.2754e-04
150.0	8.7782e-04	6.8865e-04	7.1665e-04	5.6364e-04
151.5	9.3291e-04	7.0681e-04	7.5202e-04	6.1503e-04
153.0	9.7616e-04	7.6103e-04	8.0300e-04	6.7340e-04
154.5	1.0133e-03	8.2816e-04	8.5535e-04	7.3895e-04
156.0	1.0974e-03	8.8824e-04	9.3134e-04	8.1891e-04
157.5	1.1992e-03	9.5357e-04	1.0171e-03	9.1387e-04
159.0	1.2987e-03	1.0940e-03	1.1269e-03	1.0116e-03
160.5	1.4415e-03	1.2845e-03	1.2978e-03	1.1764e-03
162.0	1.6834e-03	1.5174e-03	1.5256e-03	1.3773e-03
163.5	1.9686e-03	1.8326e-03	1.8393e-03	1.6355e-03
165.0	2.3317e-03	2.3212e-03	2.2081e-03	2.0416e-03
166.5	2.9538e-03	3.0885e-03	2.7371e-03	2.6651e-03
168.0	3.8288e-03	4.1153e-03	3.4582e-03	3.6030e-03
169.5	5.0251e-03	5.5596e-03	4.5971e-03	4.9295e-03
171.0	7.5933e-03	8.4320e-03	6.7218e-03	7.1895e-03
172.5	1.2631e-02	1.3950e-02	1.0726e-02	1.1829e-02
174.0	2.4723e-02	2.5289e-02	1.9978e-02	2.4621e-02
