Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Dunaliella
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	0.45077
443	0.42055
515	0.48125
658	0.81610
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
 96	 0.0068025	 0.0045851	 0.0121466	1.2063e-02
 97	 0.0066705	 0.0044610	 0.0118797	1.1874e-02
 98	 0.0065395	 0.0043605	 0.0115952	1.1707e-02
 99	 0.0063888	 0.0043006	 0.0113167	1.1520e-02
100	 0.0062928	 0.0042534	 0.0111042	1.1355e-02
101	 0.0061604	 0.0041854	 0.0108390	1.1212e-02
102	 0.0060399	 0.0041317	 0.0106266	1.1049e-02
103	 0.0059265	 0.0040685	 0.0104041	1.0889e-02
104	 0.0058061	 0.0040020	 0.0101793	1.0773e-02
105	 0.0057085	 0.0039504	 0.0099499	1.0656e-02
106	 0.0056665	 0.0039171	 0.0097537	1.0546e-02
107	 0.0055811	 0.0038626	 0.0095765	1.0427e-02
108	 0.0055222	 0.0038029	 0.0093859	1.0325e-02
109	 0.0054483	 0.0037639	 0.0092130	1.0216e-02
110	 0.0054000	 0.0037266	 0.0090267	1.0154e-02
111	 0.0053597	 0.0036853	 0.0088984	1.0077e-02
112	 0.0052698	 0.0036682	 0.0087156	9.9979e-03
113	 0.0052245	 0.0036224	 0.0085635	9.9230e-03
114	 0.0052230	 0.0036228	 0.0084259	9.8545e-03
115	 0.0051644	 0.0035778	 0.0082739	9.7781e-03
116	 0.0051233	 0.0035474	 0.0081442	9.7229e-03
117	 0.0051103	 0.0035351	 0.0080161	9.6851e-03
118	 0.0050658	 0.0035339	 0.0079063	9.6265e-03
119	 0.0050276	 0.0034930	 0.0077766	9.5781e-03
120	 0.0050106	 0.0034890	 0.0076683	9.5240e-03
121	 0.0050085	 0.0034734	 0.0075555	9.5170e-03
122	 0.0049559	 0.0034446	 0.0074604	9.4813e-03
123	 0.0048999	 0.0034513	 0.0073673	9.4507e-03
124	 0.0048983	 0.0034338	 0.0072883	9.4351e-03
125	 0.0049094	 0.0034196	 0.0071882	9.4002e-03
126	 0.0048816	 0.0034024	 0.0071449	9.3786e-03
127	 0.0048638	 0.0034296	 0.0070681	9.3865e-03
128	 0.0048312	 0.0033871	 0.0070611	9.3720e-03
129	 0.0048133	 0.0033877	 0.0070330	9.3257e-03
130	 0.0048106	 0.0034171	 0.0070249	9.3054e-03
131	 0.0048042	 0.0034317	 0.0070058	9.2969e-03
132	 0.0047761	 0.0034428	 0.0070330	9.2826e-03
133	 0.0047915	 0.0034477	 0.0070345	9.2583e-03
134	 0.0047589	 0.0034867	 0.0070799	9.2308e-03
135	 0.0047613	 0.0035050	 0.0071340	9.2177e-03
136	 0.0047452	 0.0035661	 0.0072048	9.1873e-03
137	 0.0047211	 0.0036164	 0.0072196	9.1724e-03
138	 0.0047407	 0.0036381	 0.0072860	9.1433e-03
139	 0.0047308	 0.0036828	 0.0073439	9.1109e-03
140	 0.0047101	 0.0037257	 0.0073740	9.0528e-03
141	 0.0047332	 0.0038008	 0.0073811	9.0142e-03
142	 0.0047374	 0.0038508	 0.0074064	9.0119e-03
143	 0.0047372	 0.0039094	 0.0074804	8.9845e-03
144	 0.0047672	 0.0039711	 0.0074809	8.9678e-03
145	 0.0047788	 0.0040457	 0.0075239	8.9466e-03
146	 0.0047967	 0.0041245	 0.0075561	8.9345e-03
147	 0.0048483	 0.0041759	 0.0075871	8.9688e-03
148	 0.0048911	 0.0042641	 0.0076268	8.9698e-03
149	 0.0049277	 0.0043040	 0.0076334	8.9726e-03
150	 0.0049940	 0.0043940	 0.0076594	9.0393e-03
151	 0.0050789	 0.0044631	 0.0076884	9.0992e-03
152	 0.0051561	 0.0044810	 0.0077364	9.1600e-03
153	 0.0052186	 0.0045330	 0.0077673	9.2241e-03
154	 0.0053057	 0.0045232	 0.0077876	9.2875e-03
155	 0.0053563	 0.0045690	 0.0078210	9.3637e-03
156	 0.0054338	 0.0046062	 0.0078889	9.4249e-03
157	 0.0054948	 0.0045945	 0.0079732	9.5238e-03
158	 0.0055513	 0.0046101	 0.0079989	9.6301e-03
159	 0.0056323	 0.0046515	 0.0081062	9.7311e-03
160	 0.0057287	 0.0046593	 0.0082056	9.8929e-03
161	 0.0058035	 0.0047361	 0.0083481	1.0038e-02
162	 0.0059692	 0.0049189	 0.0085292	1.0193e-02
163	 0.0061031	 0.0050373	 0.0087638	1.0414e-02
164	 0.0062739	 0.0052549	 0.0090315	1.0671e-02
165	 0.0065227	 0.0054641	 0.0092987	1.0994e-02
166	 0.0068020	 0.0057623	 0.0095879	1.1390e-02
167	 0.0071995	 0.0062904	 0.0101492	1.1981e-02
168	 0.0072929	 0.0067252	 0.0107174	1.2783e-02
169	 0.0082417	 0.0076452	 0.0116366	1.3644e-02
170	 0.0082042	 0.0086362	 0.0128133	1.4870e-02
171	 0.0097681	 0.0101814	 0.0147569	1.7039e-02
172	 0.0121867	 0.0129200	 0.0177854	2.0451e-02
173	 0.0177543	 0.0184438	 0.0247481	2.6948e-02
174	 0.0316496	 0.0321184	 0.0389421	4.9440e-02
175	 0.0717223	 0.0624349	 0.0755915	9.3281e-02
