Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Arizona
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	2.7328
443	2.7891
515	2.8639
658	2.9604
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
 99	 0.0035528	 0.0027656	 0.0025716	 0.0020837
100	 0.0034452	 0.0026806	 0.0024976	 0.0020183
101	 0.0033220	 0.0025889	 0.0024170	 0.0019670
102	 0.0032372	 0.0025053	 0.0023470	 0.0018989
103	 0.0031419	 0.0024309	 0.0022782	 0.0018537
104	 0.0030380	 0.0023552	 0.0022154	 0.0018041
105	 0.0029555	 0.0022894	 0.0021404	 0.0017509
106	 0.0028696	 0.0022212	 0.0020887	 0.0017085
107	 0.0027905	 0.0021690	 0.0020421	 0.0016580
108	 0.0027300	 0.0021133	 0.0019952	 0.0016141
109	 0.0026677	 0.0020551	 0.0019473	 0.0015756
110	 0.0025756	 0.0020182	 0.0018982	 0.0015457
111	 0.0025154	 0.0019669	 0.0018531	 0.0015124
112	 0.0024596	 0.0019261	 0.0018065	 0.0014772
113	 0.0024088	 0.0018761	 0.0017726	 0.0014458
114	 0.0023536	 0.0018399	 0.0017445	 0.0014225
115	 0.0023098	 0.0017948	 0.0017072	 0.0013955
116	 0.0022602	 0.0017655	 0.0016762	 0.0013654
117	 0.0022125	 0.0017329	 0.0016404	 0.0013458
118	 0.0021716	 0.0017045	 0.0016128	 0.0013194
119	 0.0021466	 0.0016706	 0.0015883	 0.0013013
120	 0.0021125	 0.0016500	 0.0015630	 0.0012830
121	 0.0020756	 0.0016184	 0.0015442	 0.0012610
122	 0.0020360	 0.0015944	 0.0015136	 0.0012495
123	 0.0020079	 0.0015767	 0.0014957	 0.0012308
124	 0.0019813	 0.0015597	 0.0014778	 0.0012132
125	 0.0019616	 0.0015461	 0.0014603	 0.0012041
126	 0.0019312	 0.0015190	 0.0014427	 0.0011905
127	 0.0019111	 0.0014997	 0.0014303	 0.0011773
128	 0.0018832	 0.0014817	 0.0014171	 0.0011687
129	 0.0018607	 0.0014746	 0.0014074	 0.0011575
130	 0.0018420	 0.0014693	 0.0013934	 0.0011515
131	 0.0018253	 0.0014540	 0.0013814	 0.0011392
