Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Chlorella
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	3.0077
443	3.0203
515	3.3594
658	2.9509
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
124.5	8.3785e-04	5.2274e-04	7.0193e-04	6.0125e-04
126.0	8.4108e-04	5.2469e-04	6.9739e-04	6.0191e-04
127.5	8.3173e-04	5.2342e-04	6.9864e-04	6.0593e-04
129.0	8.2799e-04	5.2921e-04	6.9852e-04	6.0693e-04
130.5	8.2980e-04	5.3699e-04	7.0666e-04	6.0917e-04
132.0	8.2383e-04	5.4513e-04	7.0738e-04	6.1735e-04
133.5	8.2433e-04	5.5232e-04	7.1495e-04	6.2407e-04
135.0	8.2259e-04	5.6386e-04	7.2393e-04	6.3262e-04
136.5	8.2984e-04	5.7744e-04	7.3909e-04	6.3873e-04
138.0	8.3192e-04	5.8886e-04	7.4804e-04	6.4632e-04
139.5	8.3576e-04	5.9873e-04	7.6044e-04	6.6093e-04
141.0	8.4126e-04	6.1198e-04	7.6734e-04	6.7022e-04
142.5	8.5178e-04	6.2824e-04	7.9014e-04	6.8823e-04
144.0	8.6224e-04	6.4826e-04	8.0560e-04	7.0389e-04
145.5	8.8125e-04	6.6863e-04	8.2931e-04	7.2320e-04
147.0	8.9929e-04	6.9841e-04	8.5980e-04	7.5158e-04
148.5	9.3359e-04	7.4496e-04	9.0050e-04	7.9012e-04
150.0	9.8317e-04	7.9473e-04	9.5418e-04	8.4046e-04
151.5	1.0420e-03	8.5916e-04	1.0183e-03	9.1828e-04
153.0	1.1097e-03	9.3473e-04	1.1011e-03	1.0129e-03
154.5	1.1907e-03	1.0127e-03	1.1955e-03	1.1117e-03
156.0	1.3033e-03	1.1128e-03	1.3190e-03	1.2154e-03
157.5	1.4470e-03	1.2446e-03	1.4855e-03	1.3479e-03
159.0	1.6328e-03	1.4322e-03	1.7145e-03	1.5238e-03
160.5	1.9087e-03	1.7071e-03	2.0152e-03	1.7636e-03
162.0	2.2923e-03	2.0938e-03	2.3810e-03	2.1120e-03
163.5	2.8400e-03	2.6325e-03	2.8891e-03	2.5747e-03
165.0	3.6018e-03	3.3669e-03	3.6412e-03	3.2235e-03
166.5	4.7187e-03	4.5271e-03	4.8393e-03	4.1257e-03
168.0	6.3320e-03	6.2984e-03	6.3984e-03	5.5044e-03
169.5	8.8282e-03	8.6282e-03	8.3721e-03	7.8224e-03
171.0	1.2609e-02	1.1531e-02	1.1638e-02	1.2550e-02
172.5	1.7541e-02	1.6433e-02	1.9029e-02	2.1984e-02
174.0	3.0723e-02	3.0992e-02	3.7209e-02	3.9898e-02
