wl aphy_star bbp_star
400 0.0151584382231888 0.00035933136331757
401 0.0153917228840887 0.00035933136331757
402 0.0155668567700531 0.00035933136331757
403 0.015765377368385 0.00035933136331757
404 0.0160233474776079 0.00035933136331757
405 0.0163141114856344 0.00035933136331757
406 0.0165841859290922 0.00035933136331757
407 0.0168471956661292 0.00035933136331757
408 0.0171381112819444 0.00035933136331757
409 0.0173879165516992 0.00035933136331757
410 0.0176073154169409 0.00035933136331757
411 0.017884010841238 0.00035933136331757
412 0.0180930608213729 0.00035933136331757
413 0.0182888558199584 0.00035933136331757
414 0.0184758371400036 0.00035933136331757
415 0.0186084585516519 0.00035933136331757
416 0.0187190525117388 0.00035933136331757
417 0.018779956048783 0.00035933136331757
418 0.0188416465609202 0.00035933136331757
419 0.0189160112539144 0.00035933136331757
420 0.0189377261768634 0.00035933136331757
421 0.0189539976031314 0.00035933136331757
422 0.019043539686379 0.00035933136331757
423 0.019081979233184 0.00035933136331757
424 0.019099772751471 0.00035933136331757
425 0.0191797406638213 0.00035933136331757
426 0.0193007337211666 0.00035933136331757
427 0.0194399624237292 0.00035933136331757
428 0.0195914385462001 0.00035933136331757
429 0.0197827030258482 0.00035933136331757
430 0.0199350905928691 0.00035933136331757
431 0.0201138166545352 0.00035933136331757
432 0.0203072238859396 0.00035933136331757
433 0.0204951993615018 0.00035933136331757
434 0.0206331260798105 0.00035933136331757
435 0.020736701100609 0.00035933136331757
436 0.0208538230920085 0.00035933136331757
437 0.0208645860052093 0.00035933136331757
438 0.020834832833323 0.00035933136331757
439 0.0207921049959161 0.00035933136331757
440 0.0206472806859432 0.00035933136331757
441 0.0204778751778168 0.00035933136331757
442 0.0202655491800737 0.00035933136331757
443 0.0200139403879269 0.00035933136331757
444 0.0196765315577349 0.00035933136331757
445 0.0193308301600943 0.00035933136331757
446 0.0189890888150709 0.00035933136331757
447 0.0186336165346121 0.00035933136331757
448 0.0183178902486859 0.00035933136331757
449 0.0180005122875718 0.00035933136331757
450 0.0177027847013794 0.00035933136331757
451 0.0174494269896871 0.00035933136331757
452 0.0172579462604566 0.00035933136331757
453 0.0170696220398113 0.00035933136331757
454 0.0169671212398115 0.00035933136331757
455 0.0168896000642201 0.00035933136331757
456 0.0168301833296434 0.00035933136331757
457 0.0168318925245646 0.00035933136331757
458 0.0168510832385103 0.00035933136331757
459 0.0168385534695949 0.00035933136331757
460 0.0168639083037141 0.00035933136331757
461 0.0168817312314733 0.00035933136331757
462 0.0169008743010092 0.00035933136331757
463 0.016912256337354 0.00035933136331757
464 0.0168607226764481 0.00035933136331757
465 0.0167904083742951 0.00035933136331757
466 0.0167102315973198 0.00035933136331757
467 0.0166077419878912 0.00035933136331757
468 0.0164622370851062 0.00035933136331757
469 0.016285415845376 0.00035933136331757
470 0.0160579549653362 0.00035933136331757
471 0.0158186493024957 0.000358229601008059
472 0.0155444279226254 0.000357127838698549
473 0.0152546938306958 0.000356026076389038
474 0.0149272950769403 0.000354924314079527
475 0.0145799649505822 0.000353822551770016
476 0.0142340449295884 0.000352720789460505
477 0.0138992751102828 0.000351619027150994
478 0.0135712993192299 0.000350517264841483
479 0.013246608657367 0.000349415502531972
480 0.0129864778191143 0.000348313740222461
481 0.0127360144135595 0.00034721197791295
482 0.0125169019516023 0.00034611021560344
483 0.0123792104161822 0.000345008453293929
484 0.0122523656199524 0.000343906690984418
485 0.0122087661015675 0.000342804928674907
486 0.0121606315920335 0.000341703166365396
487 0.0122255755432744 0.000340601404055885
488 0.01224975188096 0.000339499641746374
489 0.0123269432205059 0.000338397879436863
490 0.0124323420375903 0.000337296117127352
