wl a_phy_star_GH2017 a_phy_star_Ciotti
400 0.0197134402083976 0.0184872293234757
401 0.0198521116939273 0.0186172751970783
402 0.019990783179457 0.018747321070681
403 0.0201809962790773 0.01892570257872
404 0.0203712093786977 0.019104084086759
405 0.0206098961391891 0.019327924108137
406 0.0208485828996804 0.019551764129515
407 0.0210792929818006 0.0197681236360397
408 0.0213100030639208 0.0199844831425645
409 0.0215456218711925 0.0202054460428451
410 0.0217812406784642 0.0204264089431256
411 0.0220389487489176 0.0206680871153075
412 0.022296656819371 0.0209097652874894
413 0.0225150950886124 0.0211146163096246
414 0.0227335333578539 0.0213194673317597
415 0.0228832494749745 0.021459870841313
416 0.023032965592095 0.0216002743508663
417 0.0232194971478518 0.0217752033135884
418 0.0234060287036085 0.0219501322763105
419 0.0235618807271684 0.0220962900280586
420 0.0237177327507283 0.0222424477798067
421 0.023866221686561 0.022381700440921
422 0.0240147106223937 0.0225209531020354
423 0.0241895839559156 0.0226849490045874
424 0.0243644572894376 0.0228489449071394
425 0.024544852938755 0.0230181196276667
426 0.0247252485880724 0.023187294348194
427 0.0249952284714045 0.0234404810047655
428 0.0252652083547366 0.023693667661337
429 0.0254953048462129 0.0239094517436423
430 0.0257254013376891 0.0241252358259475
431 0.0258732766828779 0.0242639130628424
432 0.0260211520280666 0.0244025902997372
433 0.0262236369405657 0.0245924802921659
434 0.0264261218530648 0.0247823702845945
435 0.0264979119584054 0.0248496949182737
436 0.026569702063746 0.024917019551953
437 0.0266439465316624 0.0249866458825101
438 0.0267181909995787 0.0250562722130673
439 0.0267415074440483 0.0250781383334076
440 0.0267648238885179 0.0251000044537478
441 0.0266948745551091 0.025034406092727
442 0.0266249252217003 0.0249688077317062
443 0.0264617101104132 0.0248157448893244
444 0.026298494999126 0.0246626820469425
445 0.026084965455036 0.0244624344185632
446 0.0258714359109461 0.0242621867901839
447 0.0256953353961362 0.024097040039193
448 0.0255192348813264 0.023931893288202
449 0.0253130684249637 0.0237385507504565
450 0.025106901968601 0.023545208212711
451 0.0248970539683746 0.0233484131296486
452 0.0246872059681483 0.0231516180465862
453 0.0245534432077701 0.0230261755667394
454 0.0244196804473919 0.0229007330868926
455 0.0242392847980745 0.0227315583663653
456 0.0240588891487571 0.022562383645838
457 0.0239220584351592 0.0224340640448938
458 0.0237852277215614 0.0223057444439496
459 0.0236655775459937 0.0221935367211508
460 0.0235459273704261 0.0220813289983521
461 0.0233937568907298 0.0219386237919209
462 0.0232415864110335 0.0217959185854897
463 0.0230808256623221 0.0216451574399858
464 0.0229200649136107 0.0214943962944818
465 0.0227795526561492 0.0213626241482207
466 0.0226390403986877 0.0212308520019596
467 0.0224482137084233 0.0210518950697012
468 0.022257387018159 0.0208729381374427
469 0.0220622651933872 0.0206899532356478
470 0.0218671433686153 0.0205069683338529
471 0.0216155712046013 0.0202710444038658
472 0.0213639990405872 0.0200351204738788
473 0.021095246338543 0.0197830846657462
474 0.0208264936364987 0.0195310488576137
475 0.020571853519265 0.0192922478065292
476 0.0203172134020313 0.0190534467554447
477 0.0201969496358197 0.0189406636084265
478 0.0200766858696081 0.0188278804614083
479 0.0198883135419195 0.0186512252260277
480 0.019699941214231 0.0184745699906471
481 0.0194802757637016 0.018268568120073
482 0.0192606103131723 0.018062566249499
483 0.0191697988978697 0.0179774034650158
484 0.0190789874825671 0.0178922406805327
485 0.0189887896579084 0.017807653320269
486 0.0188985918332497 0.0177230659600053
487 0.0188004173302198 0.0176309980848884
488 0.0187022428271899 0.0175389302097715
489 0.0185580490258648 0.0174037055181936
490 0.0184138552245397 0.0172684808266156
491 0.0182702750138585 0.0171338315592571
492 0.0181266948031773 0.0169991822918986
493 0.0179413904287084 0.0168254041776155
494 0.0177560860542396 0.0166516260633323
495 0.0175769175862101 0.0164836021912439
496 0.0173977491181806 0.0163155783191556
497 0.0170884994336365 0.0160255645125373
498 0.0167792497490924 0.015735550705919
499 0.0164976116435254 0.0154714309891774
500 0.0162159735379585 0.0152073112724358
501 0.0159699236897399 0.014976566160424
502 0.0157238738415213 0.0147458210484122
503 0.0154483716423937 0.0144874555738654
504 0.0151728694432662 0.0142290900993186
505 0.0148623925774342 0.0139379254442613
506 0.0145519157116022 0.0136467607892041
507 0.0142113729042174 0.0133274003473923
508 0.0138708300968325 0.0130080399055805
509 0.013605145348008 0.0127588812185454
510 0.0133394605991834 0.0125097225315103
511 0.0131026146106238 0.0122876087827907
512 0.0128657686220643 0.0120654950340712
513 0.0126019246451715 0.0118180626196945
514 0.0123380806682787 0.0115706302053178
515 0.0121374365277114 0.0113824664855476
516 0.0119367923871441 0.0111943027657774
517 0.0117324667027132 0.0110026865006903
518 0.0115281410182823 0.0108110702356033
519 0.0113452910063892 0.010639593818198
520 0.011162440994496 0.0104681174007928
521 0.0109335716843077 0.0102534841669265
522 0.0107047023741193 0.0100388509330602
523 0.0105740075669608 0.00991628557431078
524 0.0104433127598023 0.00979372021556139
525 0.0103126179526437 0.00967115485681201
526 0.0101819231454852 0.00954858949806262
527 0.0100346613909404 0.00941048768538725
528 0.00988739963639562 0.00927238587271188
529 0.0097180486186691 0.00911356878813521
530 0.00954869760094257 0.00895475170355854
531 0.00944622796340515 0.00885865585890527
532 0.00934375832586773 0.00876256001425199
533 0.00919465579939111 0.00862273192891819
534 0.0090455532729145 0.00848290384358438
535 0.0088982915183697 0.00834480203090901
536 0.00875102976382489 0.00820670021823364
537 0.00864119703856023 0.0081036992829466
538 0.00853136431329556 0.00800069834765955
539 0.00843380340090963 0.00790920589676212
