wl ap_star_avg ap_star_sd
400 NA NA
401 NA NA
402 0.0105354806799608 0.00131269677304005
403 0.0107098828574732 0.00133394807223567
404 0.0108922879170643 0.00135616452213455
405 0.0110790465651399 0.00137991155622066
406 0.0112733149181677 0.0014046290822293
407 0.0114786863273046 0.00143080235894807
408 0.0116840017940049 0.00145802632971286
409 0.0118729749949247 0.00148541123269309
410 0.0120492552236578 0.00151239163762329
411 0.0122038022506918 0.00153901764790042
412 0.0123330227248697 0.00156480401455692
413 0.0124450558587607 0.00158915972102629
414 0.0125561879757086 0.00161297453045706
415 0.012654280475907 0.00163529383151194
416 0.0127483735888682 0.00165606752427506
417 0.0128380794023349 0.00167528069804311
418 0.0129152587037377 0.00169352437292359
419 0.012977658463096 0.00171469708590363
420 0.0130374172802162 0.00173975411426797
421 0.0130976064587809 0.00176814620406883
422 0.0131586139110474 0.0017999267742305
423 0.0132170409703491 0.0018245225394648
424 0.0132751406666667 0.0018380677650893
425 0.013332913 0.00184426490478737
426 0.0133872866666667 0.00184366320865904
427 0.0134244173692611 0.0018402618214398
428 0.0134477037744501 0.00184480643969552
429 0.0134601555094767 0.0018554089541442
430 0.0134617725743411 0.00186836624922672
431 0.0134400328822554 0.00188309863073263
432 0.0134087807306251 0.0018955684528413
433 0.0133768378149058 0.00190561909490997
434 0.013341194507854 0.00191510586998674
435 0.0132951706270201 0.0019230290455783
436 0.0132512882591919 0.00192996832367561
437 0.0132271318011153 0.0019361005176693
438 0.0132138795573349 0.00194140983300253
439 0.0131584252308117 0.00194213352946577
440 0.0130674490039955 0.00193927135569418
441 0.0129248899556215 0.00193116595110498
442 0.0127131636889437 0.00191764052341485
443 0.012445618813138 0.00189924382078421
444 0.0121753616252436 0.00187973859832054
445 0.0119084986205522 0.00185877268890522
446 0.0116610907203287 0.00183800345660714
447 0.0114680277068325 0.00181985454909416
448 0.0113159609708876 0.00180377721864863
449 0.0111842654264334 0.00178847377295515
450 0.011066834578178 0.00177429635929651
451 0.0109576942955524 0.00176067494834887
452 0.010821954796297 0.00174518586087527
453 0.0106793026973586 0.00172952859698359
454 0.0105503630847978 0.00171500082676865
455 0.0104381364434131 0.00170208049947155
456 0.0103485969037734 0.00169133763356476
457 0.0103012327705485 0.00168408201259329
458 0.0102763574267919 0.00167861413972603
459 0.010254440074675 0.00167362609487391
460 0.0102324802293994 0.00166863992527955
461 0.0102042968096876 0.00166309084467208
462 0.0101504015108698 0.00165566906429688
463 0.010074263535154 0.00164646306979787
464 0.00999541368036851 0.00163678078124564
465 0.0099171709965725 0.00162671108240729
466 0.00984571656504349 0.00161681875913845
467 0.00978716439795917 0.00160766670250454
468 0.00973804529311166 0.00159916642353453
469 0.00967407036878731 0.00158906673483355
470 0.009591920574927 0.00157727875569845
471 0.00948907790700295 0.00156371545787386
472 0.00935942835283749 0.00154781395469298
473 0.00920938980731735 0.00153013871767895
474 0.00906325115215618 0.00151294093713388
475 0.00892713544306808 0.00149640344348588
476 0.00880356068458082 0.00148061326535013
477 0.00870389418418224 0.00146630986390468
478 0.00862171804698559 0.0014529287686485
479 0.00855129673435202 0.00144029260699367
480 0.00848650719056744 0.00142821854503682
481 0.00842725584315549 0.00141631459901771
482 0.00836217538462833 0.00140384130207529
483 0.00829942021217656 0.00139142754936503
484 0.00824472586443901 0.00137925071319247
485 0.00819768766964119 0.00136689090615867
486 0.00815839920025943 0.00135474011695976
487 0.00814028626508987 0.00134351223509649
488 0.00813519446694195 0.0013325783848929
489 0.0081286704950866 0.00132072868041124
490 0.00812111902129835 0.00130838301708404
491 0.00811121357548735 0.00129463941024868
492 0.00808552834885745 0.00127878398542309
493 0.00804584065744998 0.00126078391336879
494 0.00800660381199398 0.00124184909649466
495 0.00796948150925656 0.00122192117500023
496 0.00793580021932759 0.00120190215220889
497 0.00790632932470287 0.00118123785380276
498 0.0078792915093411 0.00115996112275599
499 0.00785066564611009 0.00113792239730436
500 0.00781878803824271 0.00111518005678732
501 0.00778108550976006 0.00109112769331568
502 0.00773678867816631 0.00106631949780941
503 0.00769029874064311 0.00104109338050891
504 0.00764563682432264 0.00101559892001116
505 0.00760348769087389 0.000989661134503195
506 0.00756642451627577 0.000963886448575127
507 0.00754158342554693 0.00093850282786665
508 0.00752456322150572 0.000913172379024508
509 0.00750353041877068 0.000887946319566121
510 0.0074778002556728 0.000862999630042821
511 0.00745246596748421 0.000838649376288412
512 0.00742039142918626 0.00081466759038582
513 0.00738702608610137 0.000791333404430549
514 0.00736420342361103 0.000768595597630223
515 0.00735046115819128 0.000746329901741235
516 0.00734070605457002 0.000724219241558157
517 0.00734342246280683 0.000702369638545049
518 0.0073531609375793 0.000680501948372951
519 0.00736123289868495 0.000658833520781099
520 0.00736910062964775 0.000637488621365695
521 0.00737291254765071 0.000616530679330446
522 0.00736418430263425 0.000595853662180401
523 0.00734724573498016 0.000575827850568103
524 0.00733078542489092 0.000556235879181903
525 0.0073136698262111 0.000537023503308366
526 0.00729975052175766 0.000518127278804161
527 0.00729650710829737 0.00049971252375
528 0.00729960974544843 0.000481408936325851
529 0.00730330786804984 0.000463500059809714
530 0.007308735022257 0.000446040126953912
531 0.0073082888841343 0.000428647487345184
532 0.00729448985691498 0.000411156815038309
533 0.00727283866192986 0.000393909725814902
534 0.00724908586433996 0.000376622668786799
535 0.00721978587686784 0.000359492549427126
536 0.00719254102344911 0.000342901009107655
537 0.0071760479935401 0.000326933440759039
