"nom du projet";"nom du site";"nom de la plateforme";"date prélèvement";"profondeur min réelle observée (m)";"profondeur max réelle observée (m)";"chlorophylle a strickland-parsons (µg/l)";"chlorophylle a scor-unesco (µg/l)"
"Suivi des lacs";"Léman";"SHL2";03/08/12;20;20;;"3.73"
"Suivi des lacs";"Léman";"SHL2";03/08/12;30;30;;"3.66"
"Suivi des lacs";"Léman";"SHL2";03/19/12;0;0;;"7.54"
"Suivi des lacs";"Léman";"SHL2";03/19/12;1;1;;"8.78"
"Suivi des lacs";"Léman";"SHL2";03/19/12;2;2;;"8.24"
"Suivi des lacs";"Léman";"SHL2";03/19/12;"3.5";"3.5";;"8.91"
"Suivi des lacs";"Léman";"SHL2";03/19/12;5;5;;"8.35"
"Suivi des lacs";"Léman";"SHL2";03/19/12;"7.5";"7.5";;"8.36"
"Suivi des lacs";"Léman";"SHL2";03/19/12;10;10;;"7.21"
"Suivi des lacs";"Léman";"SHL2";03/19/12;15;15;;"9.14"
"Suivi des lacs";"Léman";"SHL2";03/19/12;20;20;;"4.15"
"Suivi des lacs";"Léman";"SHL2";03/19/12;30;30;;"2.75"
"Suivi des lacs";"Léman";"SHL2";04/26/12;0;0;;"9.18"
"Suivi des lacs";"Léman";"SHL2";04/26/12;1;1;;"8.12"
"Suivi des lacs";"Léman";"SHL2";04/26/12;2;2;;"9.58"
"Suivi des lacs";"Léman";"SHL2";04/26/12;"3.5";"3.5";;"10.4"
"Suivi des lacs";"Léman";"SHL2";04/26/12;5;5;;"10.56"
"Suivi des lacs";"Léman";"SHL2";04/26/12;"7.5";"7.5";;"6.49"
"Suivi des lacs";"Léman";"SHL2";04/26/12;10;10;;"9.17"
"Suivi des lacs";"Léman";"SHL2";04/26/12;15;15;;"8.11"
"Suivi des lacs";"Léman";"SHL2";04/26/12;20;20;;"7.66"
"Suivi des lacs";"Léman";"SHL2";04/26/12;30;30;;"5.34"
"Suivi des lacs";"Léman";"SHL2";05/24/12;0;0;;"0.43"
"Suivi des lacs";"Léman";"SHL2";05/24/12;1;1;;"0.76"
"Suivi des lacs";"Léman";"SHL2";05/24/12;2;2;;"1.91"
"Suivi des lacs";"Léman";"SHL2";05/24/12;"3.5";"3.5";;"1.61"
"Suivi des lacs";"Léman";"SHL2";05/24/12;5;5;;"1.06"
"Suivi des lacs";"Léman";"SHL2";05/24/12;"7.5";"7.5";;"0.96"
"Suivi des lacs";"Léman";"SHL2";05/24/12;10;10;;"0.63"
"Suivi des lacs";"Léman";"SHL2";05/24/12;15;15;;"0.46"
"Suivi des lacs";"Léman";"SHL2";05/24/12;20;20;;"0.28"
"Suivi des lacs";"Léman";"SHL2";05/24/12;30;30;;"0.33"
"Suivi des lacs";"Léman";"SHL2";06/18/12;0;0;;"0.3"
"Suivi des lacs";"Léman";"SHL2";06/18/12;1;1;;"0.3"
"Suivi des lacs";"Léman";"SHL2";06/18/12;2;2;;"0.36"
"Suivi des lacs";"Léman";"SHL2";06/18/12;"3.5";"3.5";;"0.46"
"Suivi des lacs";"Léman";"SHL2";06/18/12;5;5;;"0.59"
"Suivi des lacs";"Léman";"SHL2";06/18/12;"7.5";"7.5";;"0.53"
"Suivi des lacs";"Léman";"SHL2";06/18/12;10;10;;"0.94"
"Suivi des lacs";"Léman";"SHL2";06/18/12;15;15;;"0.88"
"Suivi des lacs";"Léman";"SHL2";06/18/12;20;20;;"0.48"
"Suivi des lacs";"Léman";"SHL2";06/18/12;30;30;;"0.34"
"Suivi des lacs";"Léman";"SHL2";06/27/12;0;0;;"1.94"
"Suivi des lacs";"Léman";"SHL2";06/27/12;1;1;;"3.54"
"Suivi des lacs";"Léman";"SHL2";06/27/12;2;2;;"5.71"
"Suivi des lacs";"Léman";"SHL2";06/27/12;"3.5";"3.5";;"6.96"
"Suivi des lacs";"Léman";"SHL2";06/27/12;5;5;;"7.96"
"Suivi des lacs";"Léman";"SHL2";06/27/12;"7.5";"7.5";;"8.54"
"Suivi des lacs";"Léman";"SHL2";06/27/12;10;10;;"8.55"
"Suivi des lacs";"Léman";"SHL2";06/27/12;15;15;;"6.54"
"Suivi des lacs";"Léman";"SHL2";06/27/12;20;20;;"1.77"
"Suivi des lacs";"Léman";"SHL2";06/27/12;30;30;;"0.92"
"Suivi des lacs";"Léman";"SHL2";07/09/12;0;0;;"6.11"
"Suivi des lacs";"Léman";"SHL2";07/09/12;2;2;;"7.35"
"Suivi des lacs";"Léman";"SHL2";07/09/12;"3.5";"3.5";;"8.34"
"Suivi des lacs";"Léman";"SHL2";07/09/12;5;5;;"8.14"
"Suivi des lacs";"Léman";"SHL2";07/09/12;"7.5";"7.5";;"8.16"
"Suivi des lacs";"Léman";"SHL2";07/09/12;10;10;;"7.58"
"Suivi des lacs";"Léman";"SHL2";07/09/12;15;15;;"5.09"
"Suivi des lacs";"Léman";"SHL2";07/09/12;20;20;;"3.03"
"Suivi des lacs";"Léman";"SHL2";07/09/12;30;30;;"0.86"
"Suivi des lacs";"Léman";"SHL2";07/25/12;0;0;;"12.31"
"Suivi des lacs";"Léman";"SHL2";07/25/12;1;1;;"11.69"
"Suivi des lacs";"Léman";"SHL2";07/25/12;2;2;;"19.55"
"Suivi des lacs";"Léman";"SHL2";07/25/12;"3.5";"3.5";;"11.31"
"Suivi des lacs";"Léman";"SHL2";07/25/12;5;5;;"10.98"
"Suivi des lacs";"Léman";"SHL2";07/25/12;"7.5";"7.5";;"8.01"
"Suivi des lacs";"Léman";"SHL2";07/25/12;10;10;;"6.04"
"Suivi des lacs";"Léman";"SHL2";07/25/12;15;15;;"1.79"
"Suivi des lacs";"Léman";"SHL2";07/25/12;20;20;;"1.81"
"Suivi des lacs";"Léman";"SHL2";07/25/12;30;30;;"0.95"
"Suivi des lacs";"Léman";"SHL2";08/13/12;0;0;;"5.29"
"Suivi des lacs";"Léman";"SHL2";08/13/12;1;1;;"5.58"
"Suivi des lacs";"Léman";"SHL2";08/13/12;2;2;;"5.81"
"Suivi des lacs";"Léman";"SHL2";08/13/12;"3.5";"3.5";;"5.71"
"Suivi des lacs";"Léman";"SHL2";08/13/12;5;5;;"6.73"
"Suivi des lacs";"Léman";"SHL2";08/13/12;"7.5";"7.5";;"9.48"
"Suivi des lacs";"Léman";"SHL2";08/13/12;10;10;;"4.59"
"Suivi des lacs";"Léman";"SHL2";08/13/12;15;15;;"2.87"
"Suivi des lacs";"Léman";"SHL2";08/13/12;20;20;;"2.09"
"Suivi des lacs";"Léman";"SHL2";08/13/12;30;30;;"1.22"
"Suivi des lacs";"Léman";"SHL2";08/28/12;0;0;;"3.62"
"Suivi des lacs";"Léman";"SHL2";08/28/12;1;1;;"3.85"
"Suivi des lacs";"Léman";"SHL2";08/28/12;2;2;;"4.97"
"Suivi des lacs";"Léman";"SHL2";08/28/12;"3.5";"3.5";;"4.7"
"Suivi des lacs";"Léman";"SHL2";08/28/12;5;5;;"4.59"
"Suivi des lacs";"Léman";"SHL2";08/28/12;"7.5";"7.5";;"4.99"
"Suivi des lacs";"Léman";"SHL2";08/28/12;10;10;;"3.83"
"Suivi des lacs";"Léman";"SHL2";08/28/12;15;15;;"2.89"
"Suivi des lacs";"Léman";"SHL2";08/28/12;20;20;;"2.71"
"Suivi des lacs";"Léman";"SHL2";08/28/12;30;30;;"1.43"
"Suivi des lacs";"Léman";"SHL2";09/14/12;0;0;;"5.87"
"Suivi des lacs";"Léman";"SHL2";09/14/12;1;1;;"6.12"
"Suivi des lacs";"Léman";"SHL2";09/14/12;2;2;;"5.87"
"Suivi des lacs";"Léman";"SHL2";09/14/12;"3.5";"3.5";;"3.85"
"Suivi des lacs";"Léman";"SHL2";09/14/12;5;5;;"3.42"
"Suivi des lacs";"Léman";"SHL2";09/14/12;"7.5";"7.5";;"2.39"
"Suivi des lacs";"Léman";"SHL2";09/14/12;10;10;;2
"Suivi des lacs";"Léman";"SHL2";09/14/12;15;15;;"1.76"
"Suivi des lacs";"Léman";"SHL2";09/14/12;20;20;;"1.48"
"Suivi des lacs";"Léman";"SHL2";09/14/12;30;30;;"1.15"
"Suivi des lacs";"Léman";"SHL2";09/26/12;0;0;;"5.88"
"Suivi des lacs";"Léman";"SHL2";09/26/12;1;1;;"6.43"
"Suivi des lacs";"Léman";"SHL2";09/26/12;2;2;;"6.7"
"Suivi des lacs";"Léman";"SHL2";09/26/12;"3.5";"3.5";;"7.04"
"Suivi des lacs";"Léman";"SHL2";09/26/12;5;5;;"7.29"
"Suivi des lacs";"Léman";"SHL2";09/26/12;"7.5";"7.5";;"5.92"
"Suivi des lacs";"Léman";"SHL2";09/26/12;10;10;;"4.08"
"Suivi des lacs";"Léman";"SHL2";09/26/12;15;15;;"2.13"
"Suivi des lacs";"Léman";"SHL2";09/26/12;20;20;;"1.01"
"Suivi des lacs";"Léman";"SHL2";09/26/12;30;30;;"0.62"
"Suivi des lacs";"Léman";"SHL2";10/11/12;0;0;;"9.52"
"Suivi des lacs";"Léman";"SHL2";10/11/12;1;1;;"9.69"
"Suivi des lacs";"Léman";"SHL2";10/11/12;2;2;;10
"Suivi des lacs";"Léman";"SHL2";10/11/12;"3.5";"3.5";;"10.17"
"Suivi des lacs";"Léman";"SHL2";10/11/12;5;5;;"10.48"
"Suivi des lacs";"Léman";"SHL2";10/11/12;"7.5";"7.5";;"9.76"
"Suivi des lacs";"Léman";"SHL2";10/11/12;10;10;;"10.31"
"Suivi des lacs";"Léman";"SHL2";10/11/12;15;15;;"7.73"
"Suivi des lacs";"Léman";"SHL2";10/11/12;20;20;;"5.49"
"Suivi des lacs";"Léman";"SHL2";10/11/12;30;30;;"0.77"
"Suivi des lacs";"Léman";"SHL2";10/23/12;0;0;;"7.57"
"Suivi des lacs";"Léman";"SHL2";10/23/12;1;1;;"7.86"
"Suivi des lacs";"Léman";"SHL2";10/23/12;2;2;;"8.1"
"Suivi des lacs";"Léman";"SHL2";10/23/12;"3.5";"3.5";;"8.05"
"Suivi des lacs";"Léman";"SHL2";10/23/12;5;5;;"7.73"
"Suivi des lacs";"Léman";"SHL2";10/23/12;"7.5";"7.5";;"7.21"
"Suivi des lacs";"Léman";"SHL2";10/23/12;10;10;;"8.54"
"Suivi des lacs";"Léman";"SHL2";10/23/12;15;15;;"8.41"
"Suivi des lacs";"Léman";"SHL2";10/23/12;20;20;;"3.08"
"Suivi des lacs";"Léman";"SHL2";10/23/12;30;30;;"0.94"
"Suivi des lacs";"Léman";"SHL2";11/14/12;0;0;;"6.29"
"Suivi des lacs";"Léman";"SHL2";11/14/12;1;1;;"5.95"
"Suivi des lacs";"Léman";"SHL2";11/14/12;2;2;;"6.05"
"Suivi des lacs";"Léman";"SHL2";11/14/12;"3.5";"3.5";;"6.13"
"Suivi des lacs";"Léman";"SHL2";11/14/12;5;5;;"6.2"
"Suivi des lacs";"Léman";"SHL2";11/14/12;"7.5";"7.5";;"5.65"
"Suivi des lacs";"Léman";"SHL2";11/14/12;10;10;;"6.03"
"Suivi des lacs";"Léman";"SHL2";11/14/12;15;15;;"6.17"
"Suivi des lacs";"Léman";"SHL2";11/14/12;20;20;;6
"Suivi des lacs";"Léman";"SHL2";11/14/12;30;30;;"3.61"
"Suivi des lacs";"Léman";"SHL2";11/26/12;0;0;;"6.43"
"Suivi des lacs";"Léman";"SHL2";11/26/12;1;1;;"6.41"
"Suivi des lacs";"Léman";"SHL2";11/26/12;2;2;;"6.42"
"Suivi des lacs";"Léman";"SHL2";11/26/12;"3.5";"3.5";;"6.11"
"Suivi des lacs";"Léman";"SHL2";11/26/12;5;5;;"5.99"
"Suivi des lacs";"Léman";"SHL2";11/26/12;"7.5";"7.5";;"6.07"
"Suivi des lacs";"Léman";"SHL2";11/26/12;10;10;;"6.27"
"Suivi des lacs";"Léman";"SHL2";11/26/12;15;15;;"5.65"
"Suivi des lacs";"Léman";"SHL2";11/26/12;20;20;;"5.61"
"Suivi des lacs";"Léman";"SHL2";11/26/12;30;30;;"2.76"
